########################################################################
# Job 2689480.akb in Schlange serial
# angeforderte Ressourcen: mem=1024mb,neednodes=node016,nodes=1:ppn=1,walltime=00:05:00
########################################################################
100 2829 0.035348
1000 546 1.831502
2000 570 3.508772
3000 405 7.407407
4000 408 9.803922
5000 414 12.077295
6000 528 11.363636
7000 414 16.908213
8000 570 14.035088
9000 423 21.276596
10000 435 22.988506
11000 438 25.114155
12000 591 20.304569
13000 438 29.680365
14000 444 31.531532
15000 453 33.112583
16000 555 28.828829
17000 741 22.941970
18000 465 38.709677
19000 468 40.598291
20000 471 42.462845
21000 624 33.653846
22000 480 45.833333
23000 474 48.523207
24000 483 49.689441
25000 585 42.735043
26000 687 37.845706
27000 492 54.878049
28000 492 56.910569
29000 504 57.539683
30000 657 45.662100
31000 501 61.876248
32000 507 63.116371
33000 519 63.583815
34000 714 47.619048
35000 723 48.409405
36000 531 67.796610
37000 531 69.679849
38000 534 71.161049
39000 636 61.320755
40000 543 73.664825
41000 669 61.285501
42000 555 75.675676
43000 549 78.324226
44000 558 78.853047
45000 807 55.762082
46000 564 81.560284
47000 573 82.024433
48000 573 83.769634
49000 861 56.910569
50000 885 56.497175
51000 582 87.628866
52000 594 87.542088
53000 591 89.678511
54000 747 72.289157
55000 603 91.210614
56000 609 91.954023
57000 612 93.137255
58000 804 72.139303
59000 846 69.739953
60000 624 96.153846
61000 621 98.228663
62000 627 98.883573
63000 756 83.333333
64000 633 101.105845
65000 663 98.039216
66000 648 101.851852
67000 849 78.916372
68000 654 103.975535
69000 663 104.072398
70000 663 105.580694
71000 828 85.748792
72000 678 106.194690
73000 675 108.148148
74000 681 108.663730
75000 879 85.324232
76000 693 109.668110
77000 690 111.594203
78000 699 111.587983
79000 903 87.486157
80000 726 110.192837
81000 711 113.924051
82000 714 114.845938
83000 933 88.960343
84000 720 116.666667
85000 726 117.079890
86000 720 119.444444
87000 834 104.316547
88000 729 120.713306
89000 732 121.584699
90000 744 120.967742
91000 936 97.222222
92000 744 123.655914
93000 756 123.015873
94000 750 125.333333
95000 912 104.166667
96000 768 125.000000
97000 771 125.810636
98000 774 126.614987
99000 915 108.196721
100000 780 128.205128
101000 786 128.498728
102000 792 128.787879
103000 900 114.444444
104000 801 129.837703
105000 795 132.075472
106000 804 131.840796
107000 1029 103.984451
108000 807 133.828996
109000 819 133.089133
110000 843 130.486358
111000 1038 106.936416
112000 828 135.265700
113000 834 135.491607
114000 831 137.184116
115000 942 122.080679
116000 942 123.142251
117000 849 137.809187
118000 846 139.479905
119000 855 139.181287
120000 957 125.391850
121000 864 140.046296
122000 867 140.715110
123000 873 140.893471
124000 1023 121.212121
125000 900 138.888889
126000 885 142.372881
127000 888 143.018018
128000 990 129.292929
129000 5049 25.549614
130000 960 135.416667
131000 915 143.169399
132000 978 134.969325
133000 1125 118.222222
134000 909 147.414741
135000 975 138.461538
136000 1038 131.021195
137000 924 148.268398
138000 987 139.817629
139000 927 149.946063
140000 1173 119.352089
141000 945 149.206349
142000 948 149.789030
143000 948 150.843882
144000 1083 132.963989
145000 960 151.041667
146000 957 152.560084
147000 1026 143.274854
148000 1164 127.147766
149000 978 152.351738
150000 1044 143.678161
151000 981 153.924567
152000 1122 135.472371
153000 993 154.078550
154000 1059 145.420208
155000 999 155.155155
156000 1104 141.304348
157000 1152 136.284722
158000 1077 146.703807
159000 1017 156.342183
160000 1011 158.259149
161000 1263 127.474268
162000 1029 157.434402
163000 1032 157.945736
164000 1101 148.955495
165000 1242 132.850242
166000 1041 159.462056
167000 1110 150.450450
168000 1053 159.544160
169000 1155 146.320346
170000 1059 160.528801
171000 1062 161.016949
172000 1062 161.958569
173000 1371 126.185266
174000 1092 159.340659
175000 1092 160.256410
176000 1149 153.176675
177000 1194 148.241206
178000 1101 161.671208
179000 1164 153.780069
180000 1107 162.601626
181000 1455 124.398625
182000 1125 161.777778
183000 1182 154.822335
184000 1125 163.555556
185000 1299 142.417244
186000 1137 163.588391
187000 1194 156.616415
188000 1146 164.048866
189000 1338 141.255605
190000 1218 155.993432
191000 1155 165.367965
192000 1164 164.948454
193000 1590 121.383648
194000 1200 161.666667
195000 1248 156.250000
196000 1197 163.742690
197000 1194 164.991625
198000 1257 157.517900
199000 1515 131.353135
200000 1209 165.425972
201000 1269 158.392435
202000 1206 167.495854
203000 1317 154.138193
204000 1404 145.299145
205000 1326 154.600302
206000 1230 167.479675
207000 1230 168.292683
208000 1245 167.068273
209000 1344 155.505952
210000 1308 160.550459
211000 1245 169.477912
212000 1254 169.059011
213000 1251 170.263789
214000 1488 143.817204
215000 1284 167.445483
216000 1341 161.073826
217000 1284 169.003115
218000 1290 168.992248
219000 1305 167.816092
220000 1323 166.288738
221000 1377 160.493827
222000 1413 157.112527
223000 1332 167.417417
224000 1338 167.414051
225000 1476 152.439024
226000 1353 167.036216
227000 1422 159.634318
228000 1356 168.141593
229000 1491 153.588196
230000 1476 155.826558
231000 1440 160.416667
232000 1392 166.666667
233000 1380 168.840580
234000 1497 156.312625
235000 1473 159.538357
236000 1404 168.091168
237000 1431 165.618449
238000 1485 160.269360
239000 1542 154.993515
240000 1440 166.666667
241000 1509 159.708416
242000 1452 166.666667
243000 1551 156.673114
244000 1464 166.666667
245000 1482 165.317139
246000 1596 154.135338
247000 1656 149.154589
248000 1491 166.331321
249000 1500 166.000000
250000 1491 167.672703
251000 1659 151.295961
252000 1512 166.666667
253000 1506 167.994688
254000 1662 152.827918
255000 1722 148.083624
256000 1533 166.992825
257000 1617 158.936302
258000 1548 166.666667
259000 1620 159.876543
260000 1566 166.028097
261000 1572 166.030534
262000 1650 158.787879
263000 1707 154.071470
264000 1608 164.179104
265000 1596 166.040100
266000 1602 166.042447
267000 1626 164.206642
268000 1752 152.968037
269000 1629 165.131983
270000 1695 159.292035
271000 1626 166.666667
272000 1653 164.549304
273000 1809 150.912106
274000 1677 163.387001
275000 1674 164.277180
276000 1683 163.992870
277000 1716 161.421911
278000 1863 149.221685
279000 1731 161.178510
280000 1953 143.369176
281000 1755 160.113960
282000 1770 159.322034
283000 1827 154.898741
284000 1872 151.709402
285000 1785 159.663866
286000 1788 159.955257
287000 1857 154.550350
288000 1908 150.943396
289000 1827 158.182813
290000 1866 155.412647
291000 1836 158.496732
292000 1938 150.670795
293000 1920 152.604167
294000 1854 158.576052
295000 1869 157.838416
296000 2064 143.410853
297000 1872 158.653846
298000 1896 157.172996
299000 1896 157.700422
300000 2034 147.492625
301000 1980 152.020202
302000 1926 156.801661
303000 1935 156.589147
304000 2100 144.761905
305000 1947 156.651258
306000 1953 156.682028
307000 1977 155.285787
308000 2142 143.790850
309000 1980 156.060606
310000 2049 151.293314
311000 1989 156.359980
312000 1998 156.156156
313000 2013 155.489319
314000 2001 156.921539
315000 2073 151.953690
316000 2118 149.197356
317000 2043 155.163975
318000 2202 144.414169
319000 2046 155.913978
320000 2298 139.251523
321000 2127 150.916784
322000 2043 157.611356
323000 2064 156.492248
324000 2076 156.069364
325000 2226 146.001797
326000 2097 155.460181
327000 2100 155.714286
328000 2181 150.389729
329000 2265 145.253863
330000 2175 151.724138
331000 2130 155.399061
332000 2145 154.778555
333000 2160 154.166667
334000 2211 151.062867
335000 2163 154.877485
336000 2181 154.057772
337000 2295 146.840959
338000 2217 152.458277
339000 2226 152.291105
340000 2301 147.761843
341000 2394 142.439432
342000 2256 151.595745
343000 2334 146.958012
344000 2298 149.695387
345000 2283 151.116951
346000 2472 139.967638
347000 2322 149.440138
348000 2325 149.677419
349000 2385 146.331237
350000 2463 142.103126
351000 2343 149.807939
352000 2403 146.483562
353000 2370 148.945148
354000 2388 148.241206
355000 2415 146.997930
356000 2403 148.148148
357000 2484 143.719807
358000 2394 149.540518
359000 2439 147.191472
360000 2436 147.783251
361000 2556 141.236307
362000 2460 147.154472
363000 2502 145.083933
364000 2580 141.085271
365000 2469 147.833131
366000 2496 146.634615
367000 2568 142.912773
368000 2502 147.082334
369000 2544 145.047170
370000 2517 147.000397
371000 2724 136.196769
372000 2550 145.882353
373000 2625 142.095238
374000 2571 145.468689
375000 2637 142.207053
376000 2592 145.061728
377000 2652 142.156863
378000 2607 144.994246
379000 2589 146.388567
380000 2616 145.259939
381000 2640 144.318182
382000 2724 140.234949
383000 2796 136.981402
384000 2697 142.380423
385000 2658 144.845749
386000 2748 140.465793
387000 2748 140.829694
388000 2688 144.345238
389000 2685 144.878957
390000 2874 135.699374
391000 2724 143.538913
392000 2703 145.024047
393000 2718 144.591611
394000 2844 138.537271
395000 2820 140.070922
396000 2721 145.534730
397000 2760 143.840580
398000 2763 144.046326
399000 2826 141.188960
400000 2766 144.613160
401000 2817 142.350018
402000 2889 139.148494
403000 2784 144.755747
404000 2817 143.414980
405000 2793 145.005371
406000 2922 138.945927
407000 2832 143.714689
408000 2904 140.495868
409000 2859 143.057013
410000 4752 86.279461
411000 3081 133.398247
412000 2967 138.860802
413000 3093 133.527320
414000 2928 141.393443
415000 2973 139.589640
416000 2910 142.955326
417000 2973 140.262361
418000 2910 143.642612
419000 2934 142.808453
420000 2997 140.140140
421000 2895 145.423143
422000 2982 141.515761
423000 2943 143.730887
424000 3084 137.483787
425000 2946 144.263408
426000 2970 143.434343
427000 2997 142.475809
428000 2997 142.809476
429000 3069 139.784946
430000 3024 142.195767
431000 3162 136.306135
432000 3018 143.141153
433000 3051 141.920682
434000 3063 141.691152
435000 3105 140.096618
436000 3093 140.963466
437000 3132 139.527458
438000 3093 141.610087
439000 3114 140.976236
440000 3153 139.549635
441000 3087 142.857143
442000 3090 143.042071
443000 3234 136.982066
444000 3096 143.410853
445000 3117 142.765480
446000 3207 139.070783
447000 3210 139.252336
448000 3141 142.629736
449000 3210 139.875389
450000 3141 143.266476
451000 3141 143.584846
452000 3324 135.980746
453000 3171 142.857143
454000 3219 141.037589
455000 3168 143.623737
456000 3354 135.957066
457000 3219 141.969556
458000 3267 140.189777
459000 3207 143.124415
460000 3321 138.512496
461000 3216 143.345771
462000 3300 140.000000
463000 3222 143.699565
464000 3279 141.506557
465000 3243 143.385754
466000 3429 135.899679
467000 3387 137.880130
468000 3294 142.076503
469000 3306 141.863279
470000 3282 143.205363
471000 3474 135.578584
472000 3330 141.741742
473000 3315 142.684766
474000 3393 139.699381
475000 3315 143.288084
476000 3630 131.129477
477000 3318 143.761302
478000 3318 144.062688
479000 3582 133.724176
480000 3342 143.626571
481000 3366 142.899584
482000 3426 140.688850
483000 3363 143.621766
484000 3375 143.407407
485000 3381 143.448684
486000 3390 143.362832
487000 3399 143.277435
488000 3555 137.271449
489000 3447 141.862489
490000 3462 141.536684
491000 3498 140.365923
492000 3456 142.361111
493000 3462 142.403235
494000 3579 138.027382
495000 3474 142.487047
496000 3495 141.917024
497000 3465 143.434343
498000 3558 139.966273
499000 3498 142.652945
500000 3573 139.938427
501000 3618 138.474295
502000 3528 142.290249
503000 3537 142.210913
504000 3591 140.350877
505000 3549 142.293604
506000 3606 140.321686
507000 3570 142.016807
508000 3624 140.176600
509000 3717 136.938391
510000 3558 143.338954
511000 3642 140.307523
512000 3555 144.022504
513000 3666 139.934534
514000 3648 140.899123
515000 3573 144.136580
516000 3624 142.384106
517000 3702 139.654241
518000 3651 141.878937
519000 3615 143.568465
520000 3690 140.921409
521000 3615 144.121715
522000 3720 140.322581
523000 3621 144.435239
524000 3627 144.472015
525000 3639 144.270404
526000 3648 144.188596
527000 3738 140.984484
528000 3909 135.072909
529000 3759 140.728917
530000 3690 143.631436
531000 3726 142.512077
532000 3684 144.408252
533000 3786 140.781828
534000 3750 142.400000
535000 3711 144.165993
536000 3792 141.350211
537000 3711 144.704931
538000 3852 139.667705
539000 3717 145.009416
540000 3759 143.655227
541000 3729 145.079110
542000 3849 140.815796
543000 3747 144.915933
544000 3840 141.666667
545000 3756 145.101171
546000 3882 140.649150
547000 3771 145.054362
548000 3780 144.973545
549000 3873 141.750581
550000 3768 145.966030
551000 3807 144.733386
552000 3819 144.540456
553000 3807 145.258734
554000 3918 141.398673
555000 3819 145.326002
556000 3831 145.131819
557000 3834 145.279082
558000 3837 145.426114
559000 3843 145.459277
560000 3849 145.492336
561000 3861 145.299145
562000 3930 143.002545
563000 3858 145.930534
564000 3870 145.736434
565000 3876 145.768834
566000 3879 145.913895
567000 3888 145.833333
568000 3894 145.865434
569000 3906 145.673323
570000 3909 145.817345
571000 3912 145.961145
572000 3927 145.658263
573000 3936 145.579268
574000 4044 141.938675
575000 3933 146.198830
576000 3942 146.118721
577000 4005 144.069913
578000 4086 141.458639
579000 3978 145.550528
580000 3978 145.801911
581000 3972 146.273917
582000 3975 146.415094
583000 3966 146.999496
584000 3990 146.365915
585000 3996 146.396396
586000 3972 147.532729
587000 4086 143.661282
588000 3990 147.368421
589000 4026 146.299056
590000 4032 146.329365
591000 4032 146.577381
592000 4107 144.144144
593000 4041 146.745855
594000 4134 143.686502
595000 4035 147.459727
596000 4047 147.269582
597000 4068 146.755162
598000 4071 146.892655
599000 4182 143.232903
600000 4068 147.492625
601000 4071 147.629575
602000 6957 86.531551
603000 4242 142.149929
604000 4143 145.788076
605000 4137 146.241238
606000 4101 147.768837
607000 4260 142.488263
608000 4149 146.541335
609000 4119 147.851420
610000 4125 147.878788
611000 4167 146.628270
612000 4170 146.762590
613000 4134 148.282535
614000 4152 147.880539
615000 4254 144.569817
616000 4167 147.828174
617000 4167 148.068155
618000 4173 148.094896
619000 4287 144.390016
620000 4206 147.408464
621000 4209 147.540984
622000 4254 146.215327
623000 4221 147.595357
624000 4323 144.344205
625000 4230 147.754137
626000 4242 147.571900
627000 4248 147.598870
628000 4257 147.521729
629000 4266 147.444913
630000 4299 146.545708
631000 4281 147.395468
632000 4281 147.629059
633000 4293 147.449336
634000 4287 147.888967
635000 4290 148.018648
636000 4296 148.044693
637000 4362 146.033929
638000 4308 148.096565
639000 4314 148.122392
640000 4332 147.737765
641000 4341 147.661829
642000 4323 148.507981
643000 4329 148.533149
644000 4443 144.947108
645000 4341 148.583276
646000 4356 148.301194
647000 4359 148.428539
648000 4470 144.966443
649000 4398 147.567076
650000 4395 147.895336
651000 4398 148.021828
652000 4551 143.265216
653000 4383 148.984714
654000 4389 149.008886
655000 4428 147.922313
656000 4527 144.908328
657000 4437 148.073022
658000 4437 148.298400
659000 4455 147.923681
660000 4458 148.048452
661000 4428 149.277326
662000 4437 149.199910
663000 4434 149.526387
664000 4461 148.845550
665000 4572 145.450569
666000 4470 148.993289
667000 4557 146.368225
668000 4470 149.440716
669000 4476 149.463807
670000 4509 148.591705
671000 4521 148.418491
672000 4539 148.050231
673000 4647 144.824618
674000 4563 147.709840
675000 4521 149.303251
676000 4521 149.524441
677000 4626 146.346736
678000 4563 148.586456
679000 4563 148.805610
680000 4575 148.633880
681000 4683 145.419603
682000 4635 147.141316
683000 4590 148.801743
684000 4563 149.901381
685000 4665 146.838156
686000 4572 150.043745
687000 4632 148.316062
688000 4743 145.055872
689000 4632 148.747841
690000 4638 148.771022
691000 4632 149.179620
692000 4647 148.913277
693000 4656 148.840206
694000 4677 148.385717
695000 4683 148.409139
696000 4674 148.908858
697000 4665 149.410504
698000 4650 150.107527
699000 4695 148.881789
700000 4773 146.658286
701000 4698 149.212431
702000 4710 149.044586
703000 4707 149.352029
704000 4716 149.279050
705000 4815 146.417445
706000 4722 149.512918
707000 4728 149.534687
708000 4737 149.461685
709000 4746 149.388959
710000 4851 146.361575
711000 4758 149.432535
712000 4776 149.078727
713000 4737 150.517205
714000 4755 150.157729
715000 4791 149.238155
716000 4773 150.010476
717000 4782 149.937265
718000 4878 147.191472
719000 4803 149.698105
720000 4809 149.719276
721000 4812 149.833749
722000 4923 146.658542
723000 4827 149.782474
724000 4836 149.710505
725000 4827 150.196810
726000 4938 147.023086
727000 4944 147.046926
728000 4830 150.724638
729000 4989 146.121467
730000 4884 149.467649
731000 4887 149.580520
732000 4893 149.601471
733000 5073 144.490440
734000 4905 149.643221
735000 4917 149.481391
736000 4911 149.867644
737000 4923 149.705464
738000 5145 143.440233
739000 4947 149.383465
740000 4950 149.494949
741000 4944 149.878641
742000 4920 150.813008
743000 5112 145.344288
744000 4953 150.211993
745000 4977 149.688567
746000 5085 146.705998
747000 4995 149.549550
748000 4998 149.659864
749000 5004 149.680256
750000 5001 149.970006
751000 5124 146.565183
752000 5028 149.562450
753000 5019 150.029886
754000 5022 150.139387
755000 5112 147.691706
756000 5025 150.447761
757000 5031 150.467104
758000 5034 150.576083
759000 5043 150.505651
760000 5049 150.524856
761000 5037 151.081993
762000 6321 120.550546
763000 5217 146.252636
764000 5115 149.364614
765000 5052 151.425178
766000 5055 151.533136
767000 5199 147.528371
768000 5109 150.322959
769000 5073 151.586832
770000 5124 150.273224
771000 5130 150.292398
772000 5079 151.998425
773000 5205 148.511047
774000 5088 152.122642
775000 5172 149.845321
776000 5130 151.267057
777000 5142 151.108518
778000 5142 151.302995
779000 5145 151.409135
780000 5190 150.289017
781000 5205 150.048031
782000 5208 150.153610
783000 5178 151.216686
784000 5175 151.497585
785000 5175 151.690821
786000 5208 150.921659
787000 5271 149.307532
788000 5280 149.242424
789000 5244 150.457666
790000 5253 150.390253
791000 5247 150.752811
792000 5310 149.152542
793000 5232 151.567278
794000 5232 151.758410
795000 5247 151.515152
796000 5331 149.315325
797000 5241 152.070216
798000 5391 148.024485
799000 5298 150.811627
800000 5370 148.975791
801000 5307 150.932730
802000 5313 150.950499
803000 5325 150.798122
804000 5430 148.066298
805000 5325 151.173709
806000 5325 151.361502
807000 5337 151.208544
808000 5421 149.049991
809000 5367 150.735979
810000 5364 151.006711
811000 5370 151.024209
812000 5460 148.717949
813000 5391 150.806900
814000 5382 151.244890
815000 5385 151.346332
816000 5493 148.552703
817000 5403 151.212289
818000 5469 149.570305
819000 5442 150.496141
820000 5385 152.274838
821000 5397 152.121549
822000 5442 151.047409
823000 5427 151.649162
824000 5532 148.951555
825000 5451 151.348376
826000 5427 152.201953
827000 5442 151.966189
828000 5463 151.565074
829000 5478 151.332603
830000 5442 152.517457
831000 5454 152.365237
832000 5556 149.748020
833000 5532 150.578453
834000 5517 151.169114
835000 5520 151.268116
836000 5511 151.696607
837000 5661 147.853736
838000 5541 151.236239
839000 5544 151.334776
840000 5490 153.005464
841000 5589 150.474146
842000 5556 151.547876
843000 5559 151.645979
844000 5517 152.981693
845000 5613 150.543381
846000 5598 151.125402
847000 5532 153.109183
848000 5652 150.035386
849000 5598 151.661308
850000 5625 151.111111
851000 5610 151.693405
852000 5640 151.063830
853000 5583 152.785241
854000 5583 152.964356
855000 5589 152.979066
856000 5877 145.652544
857000 5649 151.708267
858000 5655 151.724138
859000 5655 151.900973
860000 5661 151.916623
861000 5796 148.550725
862000 5634 152.999645
863000 5697 151.483237
864000 5667 152.461620
865000 5712 151.435574
866000 5721 151.372138
867000 5700 152.105263
868000 5706 152.120575
869000 5715 152.055993
870000 5709 152.390962
871000 5727 152.086607
872000 5739 151.942847
873000 5745 151.958225
874000 5748 152.052888
875000 5760 151.909722
876000 5709 153.441934
877000 5706 153.697862
878000 5904 148.712737
879000 5769 152.366095
880000 5784 152.143845
881000 5772 152.633403
882000 5889 149.770759
883000 5775 152.900433
884000 5775 153.073593
885000 5781 153.087701
886000 5889 150.449992
887000 5817 152.484098
888000 5823 152.498712
889000 5817 152.827918
890000 5925 150.210970
891000 5823 153.013910
892000 5835 152.870608
893000 5913 151.023169
894000 5943 150.429076
895000 5874 152.366360
896000 5871 152.614546
897000 5880 152.551020
898000 5883 152.643209
899000 5889 152.657497
900000 5889 152.827305
901000 5904 152.608401
902000 6006 150.183150
903000 7038 128.303495
904000 5928 152.496626
905000 5955 151.973132
906000 6012 150.698603
907000 5961 152.155679
908000 5925 153.248945
909000 6006 151.348651
910000 5991 151.894508
911000 5967 152.673035
912000 6060 150.495050
913000 5970 152.931323
914000 6078 150.378414
915000 5985 152.882206
916000 6078 150.707470
917000 6003 152.756955
918000 6000 153.000000
919000 6015 152.784705
920000 6018 152.874709
921000 6024 152.888446
922000 6120 150.653595
923000 6027 153.144185
924000 6144 150.390625
925000 6012 153.858949
926000 6051 153.032557
927000 6111 151.693667
928000 6060 153.135314
929000 6162 150.762739
930000 6081 152.935372
931000 6270 148.484848
932000 6081 153.264266
933000 6066 153.808111
934000 6078 153.668970
935000 6087 153.606046
936000 6189 151.236064
937000 6093 153.783030
938000 6096 153.871391
939000 6219 150.988905
940000 6138 153.144347
941000 6213 151.456623
942000 6153 153.096051
943000 6120 154.084967
944000 6294 149.984112
945000 6120 154.411765
946000 6168 153.372244
947000 6240 151.762821
948000 6195 153.026634
949000 6249 151.864298
950000 6138 154.773542
951000 6375 149.176471
952000 6150 154.796748
953000 6222 153.166185
954000 6294 151.572927
955000 6294 151.731808
956000 6189 154.467604
957000 6195 154.479419
958000 6240 153.525641
959000 6348 151.071204
960000 6267 153.183341
961000 6246 153.858469
962000 6225 154.538153
963000 6225 154.698795
964000 6438 149.735943
965000 6252 154.350608
966000 6294 153.479504
967000 6330 152.764613
968000 6396 151.344590
969000 6303 153.736316
970000 6276 154.557043
971000 6270 154.864434
972000 6384 152.255639
973000 6294 154.591675
974000 6297 154.676830
975000 6309 154.541132
976000 6345 153.821907
977000 6348 153.906742
978000 6360 153.773585
979000 6360 153.930818
980000 6372 153.797866
981000 6471 151.599444
982000 6381 153.894374
983000 6390 153.834116
984000 6396 153.846154
985000 6399 153.930302
986000 6390 154.303599
987000 6459 152.810033
988000 6519 151.556987
989000 6426 153.906007
990000 6423 154.133582
991000 6633 149.404493
992000 6453 153.726949
993000 6531 152.044097
994000 6444 154.252017
995000 6582 151.169857
996000 6504 153.136531
997000 6468 154.143476
998000 6468 154.298083
999000 6450 154.883721
1000000 6951 143.864192
1001000 6486 154.332408
1002000 6495 154.272517
1003000 6507 154.141694
1004000 6486 154.794943
1005000 6690 150.224215
1006000 6531 154.034604
1007000 6540 153.975535
1008000 6663 151.283206
1009000 6522 154.707145
1010000 6537 154.505125
1011000 6633 152.419720
1012000 6561 154.244780
1013000 6573 154.115320
1014000 6588 153.916211
1015000 6672 152.128297
1016000 6582 154.360377
1017000 6645 153.047404
1018000 6651 153.059690
1019000 6555 155.453852
1020000 6675 152.808989
1021000 6687 152.684313
1022000 6594 154.989384
1023000 6714 152.368186
1024000 6603 155.081024
1025000 6636 154.460518
1026000 6741 152.202937
1027000 6705 153.169277
1028000 8298 123.885274
1029000 6891 149.325207
1030000 6780 151.917404
1031000 6651 155.014284
1032000 6753 152.820968
1033000 6681 154.617572
1034000 6696 154.420550
1035000 6705 154.362416
1036000 6714 154.304438
1037000 6819 152.075084
1038000 6798 152.691968
1039000 6681 155.515641
1040000 6720 154.761905
1041000 6852 151.926445
1042000 6759 154.164817
1043000 6771 154.039285
1044000 6753 154.597956
1045000 6900 151.449275
1046000 6762 154.687962
1047000 6813 153.676794
1048000 6774 154.709182
1049000 6906 151.896901
1050000 6783 154.798762
1051000 6819 154.128171
1052000 6768 155.437352
1053000 6801 154.830172
1054000 6810 154.772394
1055000 6909 152.699378
1056000 6819 154.861417
1057000 6888 153.455285
1058000 6936 152.537486
1059000 6942 152.549697
1060000 6840 154.970760
1061000 6843 155.048955
1062000 7053 150.574224
1063000 6867 154.798311
1064000 6876 154.741129
1065000 6909 154.146765
1066000 6987 152.569057
1067000 6945 153.635709
1068000 6888 155.052265
1069000 6954 153.724475
1070000 7017 152.486818
1071000 6936 154.411765
1072000 6915 155.025307
1073000 6924 154.968226
1074000 7026 152.860803
1075000 6936 154.988466
1076000 7035 152.949538
1077000 6924 155.545927
1078000 7023 153.495657
1079000 6948 155.296488
1080000 7059 152.996175
1081000 6996 154.516867
1082000 6996 154.659806
1083000 6987 155.002147
1084000 6996 154.945683
1085000 6990 155.221745
1086000 7110 152.742616
1087000 7014 154.975763
1088000 7035 154.655295
1089000 7017 155.194528
1090000 7032 155.005688
1091000 7032 155.147895
1092000 7038 155.157715
1093000 7041 155.233632
1094000 7044 155.309483
1095000 7143 153.296934
1096000 7062 155.196828
1097000 7065 155.272470
1098000 7077 155.150487
1099000 7086 155.094553
1100000 7086 155.235676
1101000 7053 156.103786
1102000 7113 154.927597
1103000 7122 154.872227
1104000 7128 154.882155
1105000 7116 155.283867
1106000 7119 155.358899
1107000 7200 153.750000
1108000 7107 155.902631
1109000 7116 155.845981
1110000 7125 155.789474
1111000 7134 155.733109
1112000 7128 156.004489
1113000 7173 155.165203
1114000 7182 155.109997
1115000 7263 153.517830
1116000 7155 155.974843
1117000 7230 154.495159
1118000 7188 155.537006
1119000 7299 153.308672
1120000 7182 155.945419
1121000 7206 155.564807
1122000 7218 155.444722
1123000 7188 156.232610
1124000 7296 154.057018
1125000 7218 155.860349
1126000 7203 156.323754
1127000 7320 153.961749
1128000 7260 155.371901
1129000 7218 156.414519
1130000 7236 156.163626
1131000 7221 156.626506
1132000 7287 155.345135
1133000 7272 155.803080
1134000 7248 156.456954
1135000 7260 156.336088
1136000 7407 153.368435
1137000 7278 156.224237
1138000 7281 156.297212
1139000 7314 155.728739
1140000 7326 155.610156
1141000 7326 155.746656
1142000 7305 156.331280
1143000 7539 151.611620
1144000 7578 150.963315
1145000 7320 156.420765
1146000 7332 156.301146
1147000 7365 155.736592
1148000 7470 153.681392
1149000 7371 155.881156
1150000 7383 155.763240
1151000 7401 155.519524
1152000 7395 155.780933
1153000 7413 155.537569
1154000 7416 155.609493
1155000 7674 150.508210
1156000 7452 155.126141
1157000 7428 155.761982
1158000 7434 155.770783
1159000 7443 155.716781
1160000 7566 153.317473
1161000 7455 155.734406
1162000 7464 155.680600
1163000 7470 155.689424
1164000 7476 155.698234
1165000 7497 155.395492
1166000 7491 155.653451
1167000 7488 155.849359
1168000 7584 154.008439
1169000 7473 156.429814
1170000 7461 156.815440
1171000 7503 156.070905
1172000 7518 155.892525
1173000 7530 155.776892
1174000 7530 155.909695
1175000 7503 156.604025
1176000 7530 156.175299
1177000 7608 154.705573
1178000 7572 155.573164
1179000 7533 156.511350
1180000 7542 156.457173
1181000 7578 155.845870
1182000 7587 155.792803
1183000 7587 155.924608
1184000 7593 155.933096
1185000 7695 153.996101
1186000 7611 155.827092
1187000 7608 156.019979
1188000 7566 157.018239
1189000 7665 155.120678
1190000 7629 155.983746
1191000 7629 156.114825
1192000 7668 155.451226
1193000 7725 154.433657
1194000 7626 156.569630
1195000 7632 156.577568
1196000 7662 156.095014
1197000 7782 153.816500
1198000 7698 155.624838
1199000 7698 155.754741
1200000 7827 153.315447
1201000 7662 156.747585
1202000 7671 156.694042
1203000 7659 157.070114
1204000 7707 156.221617
1205000 7809 154.309130
1206000 7737 155.874370
1207000 7782 155.101516
1208000 7839 154.101288
1209000 7710 156.809339
1210000 7713 156.877998
1211000 7746 156.338755
1212000 7785 155.684008
1213000 7797 155.572656
1214000 7785 155.940912
1215000 7779 156.189742
1216000 7905 153.826692
1217000 7797 156.085674
1218000 7845 155.258126
1219000 7815 155.982086
1220000 7830 155.810983
1221000 7830 155.938697
1222000 7959 153.536876
1223000 7785 157.096981
1224000 7839 156.142365
1225000 7842 156.210150
1226000 7860 155.979644
1227000 7866 155.987796
1228000 7857 156.293751
1229000 7833 156.900294
1230000 7878 156.130998
1231000 7851 156.795313
1232000 7851 156.922685
1233000 7890 156.273764
1234000 7896 156.281662
