########################################################################
# Job 2689468.akb in Schlange serial
# angeforderte Ressourcen: mem=1024mb,neednodes=node016,nodes=1:ppn=1,walltime=00:05:00
########################################################################
1 20873133
2 12246000
4 11293596
6 10951182
8 10739337
10 10733358
12 10670469
14 9568248
16 7999992
########################################################################
benutzte Ressourcen:
cput=00:00:00,mem=0kb,vmem=0kb,walltime=00:00:00
########################################################################
