########################################################################
# Job 2689476.akb in Schlange serial
# angeforderte Ressourcen: mem=1024mb,neednodes=node016,nodes=1:ppn=1,walltime=00:05:00
########################################################################
2;2703
4;711
8;558
16;600
32;648
64;864
128;1035
256;1554
512;2727
1024;5007
2048;9183
4096;17775
8192;35082
16384;71691
32768;138729
65536;276066
131072;558603
262144;886344
524288;1711719
1048576;3427800
########################################################################
benutzte Ressourcen:
cput=00:00:00,mem=0kb,vmem=0kb,walltime=00:00:00
########################################################################
