########################################################################
# Job 2689475.akb in Schlange serial
# angeforderte Ressourcen: mem=1024mb,neednodes=node016,nodes=1:ppn=1,walltime=00:05:00
########################################################################
2;2286
4;423
8;432
16;474
32;552
64;708
128;927
256;1815
512;2352
1024;4380
2048;8397
4096;16356
8192;32286
16384;64236
32768;127593
65536;258387
131072;509424
262144;1021296
524288;2038302
1048576;4099014
########################################################################
benutzte Ressourcen:
cput=00:00:00,mem=0kb,vmem=0kb,walltime=00:00:00
########################################################################
