########################################################################
# Job 2719403.akb in Schlange parallel
# angeforderte Ressourcen: neednodes=node016:ppn=8+node015:ppn=8+node014:ppn=8+node013:ppn=8,nodes=4:ppn=8,walltime=00:05:00
########################################################################


job: n=1000 p=2
rank  time  gflops  scalar

0 0.000056 0.017960 1102535606335259803648.000000
1 0.000055 0.018273 1102535606335259803648.000000


job: n=1000 p=4
rank  time  gflops  scalar

0 0.000089 0.005667 1171257628349359718400.000000
1 0.000093 0.005406 1171257628349359718400.000000
2 0.000089 0.005667 1171257628349359718400.000000
3 0.000092 0.005477 1171257628349359718400.000000
1 0.000118 0.002864 1137147651245321879552.000000
5 0.000120 0.002879 1137147651245321879552.000000
2 0.000124 0.002726 1137147651245321879552.000000
3 0.000122 0.002774 1137147651245321879552.000000


job: n=1000 p=6
rank  time  gflops  scalar

0 0.000123 0.002747 1137147651245321879552.000000
4 0.000123 0.002747 1137147651245321879552.000000


job: n=1000 p=8
rank  time  gflops  scalar

0 0.000170 0.001518 1157739533340977790976.000000
2 0.000171 0.001507 1157739533340977790976.000000
3 0.000171 0.001509 1157739533340977790976.000000
1 0.000175 0.001474 1157739533340977790976.000000
6 0.000171 0.001507 1157739533340977790976.000000
7 0.000171 0.001509 1157739533340977790976.000000
4 0.000169 0.001526 1157739533340977790976.000000
5 0.000175 0.001474 1157739533340977790976.000000


job: n=1000 p=10
rank  time  gflops  scalar

7 0.000621 0.000338 1177679486547240812544.000000
0 0.000753 0.000279 1177679486547240812544.000000
1 0.000748 0.000281 1177679486547240812544.000000
4 0.000758 0.000277 1177679486547240812544.000000
5 0.000736 0.000285 1177679486547240812544.000000
6 0.000632 0.000332 1177679486547240812544.000000
2 0.000751 0.000280 1177679486547240812544.000000
9 0.000743 0.000283 1177679486547240812544.000000
8 0.000744 0.000282 1177679486547240812544.000000
3 0.000735 0.000286 1177679486547240812544.000000


job: n=1000 p=12
rank  time  gflops  scalar

1 0.000701 0.000254 1086203710488591204352.000000
3 0.000708 0.000251 1086203710488591204352.000000
0 0.000735 0.000242 1086203710488591204352.000000
2 0.000723 0.000246 1086203710488591204352.000000
9 0.000719 0.000248 1086203710488591204352.000000
10 0.000722 0.000247 1086203710488591204352.000000
11 0.000720 0.000258 1086203710488591204352.000000
8 0.000726 0.000245 1086203710488591204352.000000
5 0.000713 0.000250 1086203710488591204352.000000
4 0.000728 0.000244 1086203710488591204352.000000
6 0.000724 0.000246 1086203710488591204352.000000
7 0.000718 0.000248 1086203710488591204352.000000


job: n=1000 p=14
rank  time  gflops  scalar

0 0.000770 0.000203 1113121396212320567296.000000
3 0.000602 0.000259 1113121396212320567296.000000
4 0.000758 0.000206 1113121396212320567296.000000
5 0.000740 0.000211 1113121396212320567296.000000
7 0.000720 0.000217 1113121396212320567296.000000
10 0.000625 0.000250 1113121396212320567296.000000
11 0.000716 0.000218 1113121396212320567296.000000
9 0.000735 0.000212 1113121396212320567296.000000
8 0.000747 0.000209 1113121396212320567296.000000
12 0.000777 0.000201 1113121396212320567296.000000
13 0.000705 0.000238 1113121396212320567296.000000
1 0.000747 0.000209 1113121396212320567296.000000
2 0.000591 0.000264 1113121396212320567296.000000
6 0.000721 0.000216 1113121396212320567296.000000


job: n=1000 p=16
rank  time  gflops  scalar

7 0.000779 0.000180 1158903172099808690176.000000
3 0.000730 0.000192 1158903172099808690176.000000
5 0.000730 0.000192 1158903172099808690176.000000
1 0.000732 0.000191 1158903172099808690176.000000
9 0.000761 0.000184 1158903172099808690176.000000
13 0.000761 0.000184 1158903172099808690176.000000
11 0.000769 0.000182 1158903172099808690176.000000
15 0.000781 0.000200 1158903172099808690176.000000
0 0.000891 0.000157 1158903172099808690176.000000
4 0.000899 0.000156 1158903172099808690176.000000
2 0.000892 0.000157 1158903172099808690176.000000
14 0.000886 0.000158 1158903172099808690176.000000
12 0.000894 0.000157 1158903172099808690176.000000
8 0.000899 0.000156 1158903172099808690176.000000
6 0.000884 0.000158 1158903172099808690176.000000
10 0.000884 0.000158 1158903172099808690176.000000


job: n=1000 p=18
rank  time  gflops  scalar

0 0.000925 0.000138 1127712948078890844160.000000
2 0.000915 0.000140 1127712948078890844160.000000
4 0.000860 0.000149 1127712948078890844160.000000
1 0.000922 0.000139 1127712948078890844160.000000
9 0.000943 0.000136 1127712948078890844160.000000
11 0.000933 0.000137 1127712948078890844160.000000
8 0.000842 0.000152 1127712948078890844160.000000
10 0.000945 0.000135 1127712948078890844160.000000
12 0.000946 0.000135 1127712948078890844160.000000
15 0.000912 0.000140 1127712948078890844160.000000
16 0.000910 0.000141 1127712948078890844160.000000
17 0.000911 0.000162 1127712948078890844160.000000
3 0.000940 0.000136 1127712948078890844160.000000
5 0.000883 0.000145 1127712948078890844160.000000
14 0.000917 0.000140 1127712948078890844160.000000
13 0.000940 0.000136 1127712948078890844160.000000
6 0.000818 0.000156 1127712948078890844160.000000
7 0.000894 0.000143 1127712948078890844160.000000


job: n=1000 p=20
rank  time  gflops  scalar

3 0.000763 0.000157 1159308961839399305216.000000
0 0.000804 0.000149 1159308961839399305216.000000
1 0.000802 0.000150 1159308961839399305216.000000
5 0.000740 0.000162 1159308961839399305216.000000
7 0.000843 0.000142 1159308961839399305216.000000
2 0.000805 0.000149 1159308961839399305216.000000
6 0.000901 0.000133 1159308961839399305216.000000
9 0.000740 0.000162 1159308961839399305216.000000
11 0.000915 0.000131 1159308961839399305216.000000
16 0.000804 0.000149 1159308961839399305216.000000
8 0.000799 0.000150 1159308961839399305216.000000
17 0.000790 0.000152 1159308961839399305216.000000
18 0.000849 0.000141 1159308961839399305216.000000
15 0.000850 0.000141 1159308961839399305216.000000
19 0.000844 0.000142 1159308961839399305216.000000
12 0.000892 0.000135 1159308961839399305216.000000
13 0.000887 0.000135 1159308961839399305216.000000
4 0.000796 0.000151 1159308961839399305216.000000
10 0.001075 0.000112 1159308961839399305216.000000
14 0.000986 0.000122 1159308961839399305216.000000


job: n=1000 p=22
rank  time  gflops  scalar

1 0.000882 0.000127 1150461841730424668160.000000
5 0.000937 0.000120 1150461841730424668160.000000
3 0.000939 0.000119 1150461841730424668160.000000
4 0.000939 0.000119 1150461841730424668160.000000
2 0.000943 0.000119 1150461841730424668160.000000
20 0.000830 0.000135 1150461841730424668160.000000
21 0.000835 0.000158 1150461841730424668160.000000
17 0.000898 0.000125 1150461841730424668160.000000
19 0.000870 0.000129 1150461841730424668160.000000
16 0.000905 0.000124 1150461841730424668160.000000
7 0.001008 0.000111 1150461841730424668160.000000
18 0.000945 0.000119 1150461841730424668160.000000
6 0.000937 0.000120 1150461841730424668160.000000
0 0.000819 0.000137 1150461841730424668160.000000
9 0.001004 0.000112 1150461841730424668160.000000
11 0.000953 0.000117 1150461841730424668160.000000
12 0.000904 0.000124 1150461841730424668160.000000
13 0.000901 0.000124 1150461841730424668160.000000
14 0.000901 0.000124 1150461841730424668160.000000
15 0.000881 0.000127 1150461841730424668160.000000
8 0.001035 0.000108 1150461841730424668160.000000
10 0.000943 0.000119 1150461841730424668160.000000


job: n=1000 p=24
rank  time  gflops  scalar

0 0.000937 0.000113 1162673074285475266560.000000
1 0.000949 0.000112 1162673074285475266560.000000
2 0.000911 0.000116 1162673074285475266560.000000
3 0.000922 0.000115 1162673074285475266560.000000
5 0.000895 0.000118 1162673074285475266560.000000
6 0.000881 0.000120 1162673074285475266560.000000
7 0.000968 0.000110 1162673074285475266560.000000
4 0.000932 0.000114 1162673074285475266560.000000
15 0.000885 0.000120 1162673074285475266560.000000
23 0.000931 0.000148 1162673074285475266560.000000
