########################################################################
# Job 2719406.akb in Schlange parallel
# angeforderte Ressourcen: neednodes=node004:ppn=8+node003:ppn=8+node002:ppn=8+node001:ppn=8,nodes=4:ppn=8,walltime=00:05:00
########################################################################


job: n=1000 p=2
rank  time  gflops  scalar

0 0.000054 0.018496 1162673074285475528704.000000
1 0.000052 0.019240 1162673074285475528704.000000


job: n=1000 p=4
rank  time  gflops  scalar

0 0.000087 0.005769 1122768480671590645760.000000
1 0.000087 0.005746 1122768480671590645760.000000
2 0.000089 0.005634 1122768480671590645760.000000
3 0.000085 0.005891 1122768480671590645760.000000


job: n=1000 p=6
rank  time  gflops  scalar

4 0.000120 0.002785 1124101376988828925952.000000
0 0.000122 0.002741 1124101376988828925952.000000
1 0.000114 0.002913 1124101376988828925952.000000
2 0.000123 0.002712 1124101376988828925952.000000
3 0.000114 0.002913 1124101376988828925952.000000
5 0.000113 0.003009 1124101376988828925952.000000


job: n=1000 p=8
rank  time  gflops  scalar

0 0.000146 0.001734 1171142446022572638208.000000
3 0.000150 0.001667 1171142446022572638208.000000
1 0.000153 0.001633 1171142446022572638208.000000
7 0.000149 0.001678 1171142446022572638208.000000
2 0.000151 0.001661 1171142446022572638208.000000
6 0.000151 0.001661 1171142446022572638208.000000
5 0.000154 0.001623 1171142446022572638208.000000
4 0.000147 0.001716 1171142446022572638208.000000


job: n=1000 p=10
rank  time  gflops  scalar

0 0.000793 0.000256 1190781155119379775488.000000
1 0.000786 0.000254 1190781155119379775488.000000
3 0.000784 0.000255 1190781155119379775488.000000
8 0.000761 0.000267 1190781155119379775488.000000
9 0.000757 0.000264 1190781155119379775488.000000
5 0.000762 0.000262 1190781155119379775488.000000
6 0.000649 0.000310 1190781155119379775488.000000
7 0.000666 0.000300 1190781155119379775488.000000
2 0.000774 0.000260 1190781155119379775488.000000
4 0.000779 0.000259 1190781155119379775488.000000


job: n=1000 p=12
rank  time  gflops  scalar

1 0.000715 0.000232 1165149899341662519296.000000
7 0.000725 0.000229 1165149899341662519296.000000
0 0.000735 0.000230 1165149899341662519296.000000
5 0.000714 0.000232 1165149899341662519296.000000
2 0.000860 0.000194 1165149899341662519296.000000
8 0.000726 0.000233 1165149899341662519296.000000
9 0.000719 0.000231 1165149899341662519296.000000
10 0.000847 0.000197 1165149899341662519296.000000
11 0.000826 0.000211 1165149899341662519296.000000
6 0.000750 0.000223 1165149899341662519296.000000
3 0.000831 0.000200 1165149899341662519296.000000
4 0.000742 0.000226 1165149899341662519296.000000


job: n=1000 p=14
rank  time  gflops  scalar

5 0.000721 0.000197 1132187267605892956160.000000
0 0.000759 0.000191 1132187267605892956160.000000
3 0.000605 0.000235 1132187267605892956160.000000
2 0.000619 0.000231 1132187267605892956160.000000
6 0.000755 0.000189 1132187267605892956160.000000
9 0.000692 0.000205 1132187267605892956160.000000
11 0.000720 0.000197 1132187267605892956160.000000
13 0.000696 0.000221 1132187267605892956160.000000
8 0.000769 0.000189 1132187267605892956160.000000
10 0.000741 0.000193 1132187267605892956160.000000
12 0.000753 0.000191 1132187267605892956160.000000
4 0.000751 0.000192 1132187267605892956160.000000
1 0.000689 0.000206 1132187267605892956160.000000
7 0.000732 0.000194 1132187267605892956160.000000


job: n=1000 p=16
rank  time  gflops  scalar

1 0.000728 0.000170 1116943854110732976128.000000
3 0.000746 0.000166 1116943854110732976128.000000
5 0.000741 0.000167 1116943854110732976128.000000
15 0.000748 0.000187 1116943854110732976128.000000
0 0.000789 0.000162 1116943854110732976128.000000
4 0.000795 0.000158 1116943854110732976128.000000
9 0.000824 0.000150 1116943854110732976128.000000
13 0.000811 0.000153 1116943854110732976128.000000
11 0.000827 0.000150 1116943854110732976128.000000
2 0.000811 0.000154 1116943854110732976128.000000
6 0.000802 0.000156 1116943854110732976128.000000
7 0.000860 0.000144 1116943854110732976128.000000
8 0.000892 0.000142 1116943854110732976128.000000
12 0.000890 0.000142 1116943854110732976128.000000
10 0.000904 0.000138 1116943854110732976128.000000
14 0.000918 0.000136 1116943854110732976128.000000


job: n=1000 p=18
rank  time  gflops  scalar

4 0.000887 0.000126 1115594180686514487296.000000
0 0.000895 0.000127 1115594180686514487296.000000
3 0.000922 0.000119 1115594180686514487296.000000
5 0.001031 0.000107 1115594180686514487296.000000
2 0.000902 0.000123 1115594180686514487296.000000
17 0.000862 0.000151 1115594180686514487296.000000
16 0.000857 0.000133 1115594180686514487296.000000
6 0.001078 0.000103 1115594180686514487296.000000
1 0.000923 0.000119 1115594180686514487296.000000
7 0.000956 0.000115 1115594180686514487296.000000
8 0.001011 0.000112 1115594180686514487296.000000
9 0.001024 0.000107 1115594180686514487296.000000
10 0.001004 0.000111 1115594180686514487296.000000
11 0.001023 0.000108 1115594180686514487296.000000
12 0.000968 0.000116 1115594180686514487296.000000
13 0.000883 0.000125 1115594180686514487296.000000
14 0.000844 0.000132 1115594180686514487296.000000
15 0.000868 0.000127 1115594180686514487296.000000


job: n=1000 p=20
rank  time  gflops  scalar

1 0.000809 0.000124 1097909998584380260352.000000
3 0.000916 0.000109 1097909998584380260352.000000
0 0.000847 0.000123 1097909998584380260352.000000
11 0.000852 0.000117 1097909998584380260352.000000
17 0.000800 0.000125 1097909998584380260352.000000
19 0.000818 0.000122 1097909998584380260352.000000
9 0.000911 0.000110 1097909998584380260352.000000
14 0.000788 0.000128 1097909998584380260352.000000
4 0.000975 0.000105 1097909998584380260352.000000
12 0.000758 0.000135 1097909998584380260352.000000
15 0.000781 0.000128 1097909998584380260352.000000
16 0.000850 0.000122 1097909998584380260352.000000
18 0.000849 0.000119 1097909998584380260352.000000
6 0.001076 0.000094 1097909998584380260352.000000
2 0.000924 0.000109 1097909998584380260352.000000
5 0.000917 0.000109 1097909998584380260352.000000
7 0.000850 0.000118 1097909998584380260352.000000
10 0.000965 0.000105 1097909998584380260352.000000
8 0.000961 0.000107 1097909998584380260352.000000
13 0.000762 0.000131 1097909998584380260352.000000


job: n=1000 p=22
rank  time  gflops  scalar

1 0.000905 0.000099 1194551763868238741504.000000
3 0.000819 0.000110 1194551763868238741504.000000
4 0.000859 0.000107 1194551763868238741504.000000
17 0.000822 0.000109 1194551763868238741504.000000
13 0.000781 0.000115 1194551763868238741504.000000
15 0.000769 0.000117 1194551763868238741504.000000
21 0.000846 0.000130 1194551763868238741504.000000
12 0.000790 0.000116 1194551763868238741504.000000
10 0.000801 0.000114 1194551763868238741504.000000
19 0.000846 0.000106 1194551763868238741504.000000
0 0.000864 0.000109 1194551763868238741504.000000
8 0.000958 0.000097 1194551763868238741504.000000
14 0.000894 0.000102 1194551763868238741504.000000
18 0.000932 0.000098 1194551763868238741504.000000
20 0.000931 0.000099 1194551763868238741504.000000
16 0.000882 0.000107 1194551763868238741504.000000
2 0.000974 0.000093 1194551763868238741504.000000
7 0.000814 0.000111 1194551763868238741504.000000
5 0.000832 0.000108 1194551763868238741504.000000
9 0.000820 0.000110 1194551763868238741504.000000
11 0.000770 0.000117 1194551763868238741504.000000
6 0.000861 0.000106 1194551763868238741504.000000


job: n=1000 p=24
rank  time  gflops  scalar

0 0.000877 0.000098 1237271800954476036096.000000
1 0.000873 0.000094 1237271800954476036096.000000
5 0.000878 0.000093 1237271800954476036096.000000
7 0.000807 0.000102 1237271800954476036096.000000
23 0.000882 0.000129 1237271800954476036096.000000
11 0.000795 0.000103 1237271800954476036096.000000
9 0.000820 0.000100 1237271800954476036096.000000
15 0.000935 0.000088 1237271800954476036096.000000
21 0.000890 0.000092 1237271800954476036096.000000
20 0.000919 0.000091 1237271800954476036096.000000
