########################################################################
# Job 2720409.akb in Schlange parallel
# angeforderte Ressourcen: neednodes=node016:ppn=8+node015:ppn=8+node014:ppn=8+node013:ppn=8,nodes=4:ppn=8,walltime=00:05:00
########################################################################


job: n=1000 p=2
rank  time  gflops  scalar

0 0.000046 0.021754 1135716382126766424064.000000
1 0.000043 0.023196 1135716382126766424064.000000


job: n=1000 p=4
rank  time  gflops  scalar

0 0.000058 0.008629 1171679421060321378304.000000
1 0.000055 0.009115 1171679421060321378304.000000
3 0.000053 0.009442 1171679421060321378304.000000
2 0.000057 0.008810 1171679421060321378304.000000


job: n=1000 p=8
rank  time  gflops  scalar

0 0.000094 0.002693 1184399952039105003520.000000
1 0.000099 0.002557 1184399952039105003520.000000
7 0.000097 0.002614 1184399952039105003520.000000
2 0.000094 0.002693 1184399952039105003520.000000
4 0.000094 0.002693 1184399952039105003520.000000
6 0.000095 0.002666 1184399952039105003520.000000
3 0.000098 0.002582 1184399952039105003520.000000
5 0.000099 0.002557 1184399952039105003520.000000


job: n=1000 p=16
rank  time  gflops  scalar

0 0.000520 0.000250 1187482603260758458368.000000
1 0.000461 0.000282 1187482603260758458368.000000
7 0.000386 0.000337 1187482603260758458368.000000
9 0.000386 0.000332 1187482603260758458368.000000
11 0.000383 0.000334 1187482603260758458368.000000
13 0.000377 0.000340 1187482603260758458368.000000
8 0.000424 0.000302 1187482603260758458368.000000
12 0.000423 0.000303 1187482603260758458368.000000
10 0.000448 0.000286 1187482603260758458368.000000
15 0.000492 0.000260 1187482603260758458368.000000
14 0.000716 0.000179 1187482603260758458368.000000
2 0.000526 0.000247 1187482603260758458368.000000
4 0.000512 0.000254 1187482603260758458368.000000
6 0.000723 0.000180 1187482603260758458368.000000
5 0.000446 0.000291 1187482603260758458368.000000
3 0.000455 0.000286 1187482603260758458368.000000


job: n=1000 p=32
rank  time  gflops  scalar

7 0.000795 0.000087 1152585270190330085376.000000
1 0.000735 0.000094 1152585270190330085376.000000
3 0.000898 0.000077 1152585270190330085376.000000
5 0.000871 0.000079 1152585270190330085376.000000
29 0.000723 0.000093 1152585270190330085376.000000
27 0.000739 0.000091 1152585270190330085376.000000
10 0.000790 0.000085 1152585270190330085376.000000
8 0.000783 0.000086 1152585270190330085376.000000
26 0.000814 0.000082 1152585270190330085376.000000
30 0.000819 0.000082 1152585270190330085376.000000
0 0.000810 0.000085 1152585270190330085376.000000
4 0.000968 0.000071 1152585270190330085376.000000
6 0.000980 0.000070 1152585270190330085376.000000
2 0.001072 0.000064 1152585270190330085376.000000
19 0.000797 0.000084 1152585270190330085376.000000
20 0.000870 0.000077 1152585270190330085376.000000
21 0.000779 0.000086 1152585270190330085376.000000
22 0.000880 0.000076 1152585270190330085376.000000
11 0.000750 0.000089 1152585270190330085376.000000
23 0.000750 0.000089 1152585270190330085376.000000
28 0.000807 0.000083 1152585270190330085376.000000
12 0.000809 0.000083 1152585270190330085376.000000
14 0.000826 0.000081 1152585270190330085376.000000
9 0.000756 0.000089 1152585270190330085376.000000
17 0.000736 0.000091 1152585270190330085376.000000
13 0.000730 0.000092 1152585270190330085376.000000
15 0.000750 0.000089 1152585270190330085376.000000
18 0.000864 0.000078 1152585270190330085376.000000
25 0.000719 0.000093 1152585270190330085376.000000
31 0.000741 0.000090 1152585270190330085376.000000
16 0.000799 0.000084 1152585270190330085376.000000
24 0.000796 0.000084 1152585270190330085376.000000
########################################################################
benutzte Ressourcen:
cput=00:00:00,mem=628kb,vmem=6228kb,walltime=00:00:05
########################################################################
