P  Speedup  Parallel_efficiency

2 0.259325293822 0.129662646911
4 0.108749689952 0.027187422488
6 0.0673034447419 0.0112172407903
8 0.0457114097383 0.00571392621729
10 0.0282051068446 0.00282051068446
12 0.0258629762602 0.00215524802168
14 0.024604734745 0.00175748105322
16 0.0233079256049 0.00145674535031
18 0.0227974634488 0.00126652574716
20 0.0220586585203 0.00110293292601
22 0.0217437221393 0.000988351006333
24 0.0216751652321 0.000903131884671
26 0.0215050158845 0.000827115995557
28 0.0214094104025 0.000764621800089
30 0.0214705738322 0.000715685794407
32 0.0213748913157 0.000667965353617
