P  Speedup  Parallel_efficiency

2 0.259280058882 0.129640029441
4 0.108502634095 0.0271256585237
6 0.0673539511304 0.0112256585217
8 0.0456145839727 0.00570182299658
10 0.0282172519583 0.00282172519583
12 0.0262050324601 0.00218375270501
14 0.0246204699394 0.00175860499567
16 0.0234684093176 0.00146677558235
18 0.0226409388506 0.00125782993614
20 0.021677586145 0.00108387930725
22 0.0217107855327 0.000986853887848
24 0.0214902133365 0.000895425555686
26 0.0214248700474 0.00082403346336
28 0.0214068610284 0.000764530751014
30 0.0213053890122 0.000710179633741
32 0.02154684139 0.000673338793436
